image_id,height,width,xmin,ymin,w,h
0,2049,1537,517.0,127.0,447.0,1322.0
1,2049,1537,1.0,457.0,1429.0,1519.0
1,2049,1537,531.0,292.0,1006.0,672.0
2,2049,1537,632.0,987.0,500.0,374.0
2,2049,1537,632.0,989.0,44.0,51.0
3,1537,2049,209.0,920.0,454.0,562.0
3,1537,2049,1212.0,822.0,179.0,446.0
3,1537,2049,634.0,1442.0,29.0,39.0
3,1537,2049,589.0,548.0,341.0,405.0
4,2049,1537,556.0,944.0,490.0,336.0
5,1537,2049,1205.0,47.0,623.0,721.0
5,1537,2049,309.0,11.0,581.0,820.0
5,1537,2049,189.0,751.0,1617.0,589.0
5,1537,2049,189.0,903.0,205.0,226.0
5,1537,2049,569.0,137.0,227.0,108.0
5,1537,2049,1540.0,171.0,246.0,111.0
6,2049,1537,515.0,439.0,357.0,1125.0
7,1537,2049,826.0,744.0,464.0,205.0
7,1537,2049,1254.0,777.0,36.0,47.0
8,2049,1537,824.0,557.0,89.0,236.0
9,2049,1537,730.0,126.0,275.0,609.0
9,2049,1537,804.0,0.0,222.0,160.0
9,2049,1537,781.0,125.0,85.0,57.0
10,2049,1537,379.0,1127.0,425.0,318.0
10,2049,1537,904.0,1083.0,37.0,26.0
11,2049,1537,1072.0,983.0,124.0,147.0
11,2049,1537,914.0,1308.0,243.0,187.0
11,2049,1537,672.0,1069.0,219.0,161.0
11,2049,1537,401.0,1033.0,273.0,273.0
11,2049,1537,836.0,1010.0,339.0,207.0
11,2049,1537,775.0,910.0,159.0,99.0
12,1537,2049,1527.0,460.0,415.0,1033.0
12,1537,2049,579.0,521.0,322.0,921.0
12,1537,2049,211.0,1.0,417.0,1417.0
12,1537,2049,1208.0,611.0,369.0,882.0
12,1537,2049,863.0,608.0,353.0,860.0
12,1537,2049,1677.0,460.0,211.0,98.0
12,1537,2049,1325.0,663.0,155.0,115.0
12,1537,2049,969.0,636.0,146.0,124.0
12,1537,2049,610.0,521.0,185.0,97.0
12,1537,2049,212.0,1.0,169.0,103.0
13,2049,1537,398.0,410.0,1134.0,998.0
13,2049,1537,1336.0,410.0,196.0,210.0
13,2049,1537,0.0,1.0,338.0,664.0
13,2049,1537,0.0,369.0,487.0,319.0
14,2049,1537,419.0,8.0,713.0,1854.0
15,2049,1537,150.0,328.0,568.0,1304.0
15,2049,1537,802.0,405.0,547.0,1404.0
15,2049,1537,971.0,405.0,296.0,191.0
16,2049,1537,750.0,244.0,402.0,1467.0
16,2049,1537,1205.0,989.0,332.0,602.0
17,2049,1537,714.0,1093.0,234.0,237.0
18,2049,1537,522.0,1168.0,240.0,122.0
19,2049,1537,503.0,808.0,445.0,357.0
19,2049,1537,510.0,953.0,78.0,61.0
20,1537,2049,285.0,402.0,472.0,624.0
20,1537,2049,1450.0,379.0,514.0,612.0
20,1537,2049,504.0,451.0,172.0,96.0
20,1537,2049,1754.0,479.0,184.0,84.0
21,1537,2049,602.0,290.0,865.0,1059.0
21,1537,2049,923.0,337.0,227.0,277.0
22,2049,1537,399.0,502.0,483.0,741.0
22,2049,1537,451.0,572.0,158.0,73.0
23,2049,1537,184.0,898.0,494.0,854.0
23,2049,1537,605.0,259.0,379.0,1196.0
23,2049,1537,1051.0,202.0,486.0,1078.0
23,2049,1537,1263.0,202.0,273.0,302.0
24,2049,1537,274.0,723.0,663.0,846.0
25,1537,2049,852.0,638.0,687.0,291.0
25,1537,2049,256.0,705.0,678.0,417.0
26,1537,2049,647.0,1033.0,820.0,376.0
26,1537,2049,313.0,1400.0,414.0,135.0
27,2049,1537,372.0,1441.0,293.0,221.0
27,2049,1537,1015.0,979.0,190.0,214.0
27,2049,1537,904.0,1493.0,168.0,166.0
27,2049,1537,683.0,1550.0,221.0,103.0
27,2049,1537,1043.0,792.0,144.0,164.0
27,2049,1537,1162.0,1166.0,18.0,27.0
27,2049,1537,371.0,1437.0,31.0,49.0
28,2049,1537,218.0,1457.0,273.0,273.0
28,2049,1537,634.0,860.0,227.0,232.0
28,2049,1537,463.0,1112.0,126.0,162.0
29,2049,1537,668.0,717.0,455.0,655.0
30,2049,1537,351.0,460.0,910.0,683.0
30,2049,1537,454.0,1437.0,36.0,102.0
31,2049,1537,604.0,1052.0,187.0,320.0
32,2049,1537,470.0,1040.0,413.0,321.0
33,1537,2049,664.0,619.0,239.0,270.0
33,1537,2049,1179.0,662.0,286.0,265.0
33,1537,2049,753.0,722.0,81.0,113.0
33,1537,2049,1318.0,677.0,65.0,98.0
34,2049,1537,642.0,854.0,833.0,804.0
34,2049,1537,124.0,735.0,392.0,550.0
35,2049,1537,656.0,705.0,319.0,841.0
35,2049,1537,744.0,551.0,792.0,777.0
35,2049,1537,975.0,221.0,561.0,326.0
35,2049,1537,1032.0,281.0,28.0,146.0
36,2049,1537,710.0,1225.0,153.0,198.0
37,2049,1537,811.0,1123.0,199.0,350.0
38,2049,1537,1346.0,1367.0,191.0,292.0
38,2049,1537,828.0,1058.0,193.0,187.0
39,2049,1537,593.0,934.0,432.0,238.0
40,2049,1537,713.0,530.0,191.0,373.0
41,2049,1537,323.0,1055.0,487.0,352.0
41,2049,1537,749.0,1289.0,25.0,86.0
41,2049,1537,1426.0,1294.0,110.0,273.0
42,2049,1537,652.0,874.0,425.0,689.0
43,2049,1537,33.0,230.0,602.0,1316.0
43,2049,1537,807.0,103.0,710.0,1613.0
43,2049,1537,886.0,522.0,314.0,432.0
44,1537,2049,929.0,557.0,379.0,500.0
44,1537,2049,494.0,531.0,372.0,533.0
44,1537,2049,709.0,271.0,296.0,482.0
44,1537,2049,658.0,639.0,137.0,90.0
44,1537,2049,781.0,293.0,101.0,76.0
45,1537,2049,564.0,1303.0,522.0,233.0
45,1537,2049,0.0,452.0,437.0,504.0
45,1537,2049,395.0,475.0,424.0,486.0
45,1537,2049,804.0,465.0,339.0,501.0
45,1537,2049,1128.0,327.0,496.0,648.0
45,1537,2049,1583.0,315.0,466.0,669.0
46,1537,2049,238.0,686.0,401.0,475.0
46,1537,2049,802.0,410.0,413.0,344.0
46,1537,2049,1498.0,636.0,405.0,477.0
46,1537,2049,392.0,764.0,157.0,80.0
46,1537,2049,1134.0,570.0,64.0,83.0
46,1537,2049,1719.0,752.0,140.0,98.0
47,2448,3264,53.0,480.0,1041.0,1047.0
47,2448,3264,1414.0,1285.0,599.0,594.0
47,2448,3264,1824.0,475.0,1028.0,735.0
